,0,1,2,3,4,5,6,7,8,9,10,11,12
P25519,1,7,20,24.0,36.0,12.0,19.0,36.0,40.0,,,,
Q980M3,0,7,10,15.0,19.0,20.0,0.0,7.0,10.0,15.0,19.0,20.0,40.0
Q9Z873,1,7,11,20.0,25.0,39.0,,,,,,,
P94478,1,7,20,25.0,,,,,,,,,
A9H253,7,20,23,24.0,32.0,7.0,20.0,23.0,24.0,32.0,,,
Q04PB3,15,25,36,1.0,7.0,20.0,24.0,25.0,,,,,
Q5JGB4,1,19,20,23.0,24.0,25.0,32.0,38.0,,,,,
Q58526,0,7,19,20.0,22.0,23.0,24.0,25.0,38.0,,,,
A2BLW4,0,7,19,20.0,22.0,35.0,,,,,,,
A0L4B2,1,7,20,24.0,,,,,,,,,
C1F407,1,7,20,,,,,,,,,,
B2UPE7,20,23,24,25.0,39.0,,,,,,,,
A1RY30,0,1,7,20.0,23.0,28.0,38.0,,,,,,
D9R4W7,1,7,20,24.0,25.0,39.0,30.0,,,,,,
D3FTV4,1,7,11,20.0,24.0,25.0,1.0,7.0,11.0,20.0,24.0,25.0,
Q3AFV0,1,7,20,24.0,29.0,,,,,,,,
Q0I442,1,7,20,24.0,,,,,,,,,
E0RQS7,4,7,20,23.0,24.0,25.0,27.0,,,,,,
Q73J26,13,20,25,32.0,42.0,8.0,15.0,20.0,27.0,37.0,,,
A9A623,0,1,7,10.0,19.0,20.0,23.0,24.0,25.0,,,,
